**** BEGIN LOGGING AT Tue Oct 18 17:58:07 2016

Th10 18 17:58:12 <jamielennox>	yum would be python-keystoneauth 
Th10 18 17:58:29 <jamielennox>	or maybe python-keysotneauth1
Th10 18 17:58:36 <jamielennox>	it's been out for a while now, RDO must have it 
Th10 18 17:59:16 <jamielennox>	it's a required dependency of pretty much every other client
Th10 18 18:54:54 <openstackgerrit>	Matthew Oliver proposed openstack/swift: Mirror X-Trans-Id to X-OpenStack-Request-Id  https://review.openstack.org/387354
Th10 18 18:56:34 <clayg>	kota_: i'm back on for awhile
Th10 18 18:57:07 <mattoliverau>	^^ just correcting a commit message
Th10 18 18:57:50 <clayg>	X-OpenStack-Request-Id nice
Th10 18 18:59:22 <clayg>	wait i thought the idea with that is that when glance makes a request to swift it could have a transaction associated with that requst which we'd then use to track any subrequests etc
Th10 18 18:59:40 <clayg>	do we not expect the osreqid to be passed in from other services?  should it be?
Th10 18 19:03:42 *	jamielennox is now known as jamielennox|away
Th10 18 19:18:03 <kota_>	clayg: woow, I was in the lunch just a bit
Th10 18 19:18:12 <kota_>	and now back to my desk
Th10 18 19:20:48 <mahatic>	good morning
Th10 18 19:21:30 <kota_>	mahatic: o/
Th10 18 19:35:35 *	jamielennox|away is now known as jamielennox
Th10 18 19:44:46 <mattoliverau>	clayg: according to the bug, it looks like its just mirroring our trans-id.. that is so we have a common return header in openstack that people can look for. 
Th10 18 19:45:07 <mattoliverau>	mahatic: morning
Th10 18 19:45:22 <mahatic>	kota_: mattoliverau: o/
Th10 18 20:15:50 <kota_>	hmmm, i noticed that i don't have the permission to add +2 for stable branch.
Th10 18 20:21:38 <mattoliverau>	kota_: yeah, stable branch is owned by the stable team. notmyname I think is the only swift core with +2 there
Th10 18 20:21:52 <mattoliverau>	tho I could be wrong... but I don't either
Th10 18 20:23:21 <kota_>	mattoliverau: it looks like https://review.openstack.org/#/admin/groups/542,members ?
Th10 18 20:23:22 <mattoliverau>	You might have to ping stable team for review, or call out to tonyb and entice him with meat to smoke :P But they'll be looking for Swift core's +1s to know that we think patches are good
Th10 18 20:23:31 <mattoliverau>	kota_: ^^
Th10 18 20:23:52 <mattoliverau>	kota_: yeah that'll be it
Th10 18 20:24:14 <kota_>	mattolvierau: thx
Th10 18 20:24:31 <tonyb>	kota_: what needs looking at?
Th10 18 20:25:21 <kota_>	tonyb: we have 2 backport patches for stable/mitaka and stable/newton
Th10 18 20:25:36 <kota_>	https://review.openstack.org/#/c/387123/ and https://review.openstack.org/#/c/387172/
